                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0031,                0.65171,                 1.2106,                0.85847,                0.70659,                0.80719,                 0.5009,                 1.3304,                0.79557,                 1.3558,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99656,                0.64987,                 1.2066,                0.90177,                 0.6688,                  0.802,                0.49948,                  1.333,                0.79229,                 1.3689,              0.0003764,              0.0003764,              0.0003764
                     84,                0.98842,                0.64898,                 1.2017,                0.86424,                 0.6996,                0.81042,                0.50177,                 1.3347,                0.79191,                 1.3566,              0.0003566,              0.0003566,              0.0003566
                     85,                0.98377,                0.63923,                 1.2017,                0.85703,                0.72255,                0.81849,                0.50602,                 1.3322,                0.76741,                 1.3584,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97667,                0.63896,                 1.1989,                0.86471,                0.69561,                0.80521,                0.50256,                 1.3309,                0.77682,                 1.3584,               0.000317,               0.000317,               0.000317
                     87,                0.98272,                0.63542,                 1.1959,                0.84633,                0.71453,                0.80251,                0.49299,                 1.3464,                 0.7765,                 1.3658,              0.0002972,              0.0002972,              0.0002972
                     88,                0.96767,                0.63225,                 1.1974,                0.87175,                0.70359,                0.81508,                0.50587,                 1.3276,                0.76318,                 1.3482,              0.0002774,              0.0002774,              0.0002774
                     89,                0.97859,                0.63606,                 1.1883,                0.86833,                0.70423,                0.80775,                0.50874,                 1.3154,                0.76899,                 1.3416,              0.0002576,              0.0002576,              0.0002576
                     90,                0.92324,                0.56235,                 1.1583,                 0.8615,                0.71856,                0.81104,                0.50624,                  1.331,                0.76753,                 1.3526,              0.0002378,              0.0002378,              0.0002378
                     91,                0.90809,                0.54976,                 1.1541,                0.88335,                0.68775,                0.80604,                0.50573,                 1.3209,                0.76457,                 1.3442,               0.000218,               0.000218,               0.000218
                     92,                 0.8951,                0.53728,                 1.1441,                0.87261,                 0.6996,                0.80379,                0.50311,                  1.322,                0.76806,                 1.3518,              0.0001982,              0.0001982,              0.0001982
                     93,                0.88924,                0.53904,                 1.1419,                 0.8537,                0.71657,                0.81041,                0.50659,                 1.3158,                0.75569,                 1.3525,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.8784,                0.52746,                 1.1318,                0.86281,                0.71557,                0.81454,                0.50815,                 1.3164,                0.75424,                 1.3537,              0.0001586,              0.0001586,              0.0001586
                     95,                0.87768,                0.52343,                  1.129,                0.86058,                 0.7084,                0.81164,                0.50578,                  1.318,                0.75656,                 1.3503,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87445,                0.52354,                 1.1328,                 0.8826,                0.70559,                0.81347,                0.51409,                 1.3054,                 0.7517,                 1.3408,               0.000119,               0.000119,               0.000119
                     97,                0.87028,                0.51841,                 1.1211,                 0.8667,                0.70659,                0.81158,                0.51461,                 1.2922,                0.74545,                 1.3316,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.86526,                0.51325,                 1.1227,                0.86864,                0.71158,                0.80931,                0.51076,                 1.3009,                0.74339,                 1.3386,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.86311,                0.51775,                 1.1247,                0.86981,                0.71457,                0.81055,                0.51222,                 1.3055,                0.74607,                 1.3363,               5.96e-05,               5.96e-05,               5.96e-05
